Time (s);Electrode;Attention;Meditation;Sampling Rate
1.443359;-185.000000;43.000000;75.000000;
1.445313;-193.000000;43.000000;75.000000;
1.447266;-193.000000;43.000000;75.000000;
1.449219;-183.000000;43.000000;75.000000;
1.451172;-184.000000;43.000000;75.000000;
1.453125;-173.000000;43.000000;75.000000;
1.455078;-121.000000;43.000000;75.000000;
1.457031;-67.000000;43.000000;75.000000;
1.458984;-42.000000;43.000000;75.000000;
1.460938;-34.000000;43.000000;75.000000;
1.462891;1.000000;43.000000;75.000000;
1.464844;53.000000;43.000000;75.000000;
1.466797;98.000000;43.000000;75.000000;
1.468750;118.000000;43.000000;75.000000;
1.470703;120.000000;43.000000;75.000000;
1.472656;101.000000;43.000000;75.000000;
1.474609;101.000000;43.000000;75.000000;
1.476563;123.000000;43.000000;75.000000;
1.478516;133.000000;43.000000;75.000000;
1.480469;148.000000;43.000000;75.000000;
1.482422;185.000000;43.000000;75.000000;
1.484375;230.000000;43.000000;75.000000;
1.486328;261.000000;43.000000;75.000000;
1.488281;308.000000;43.000000;75.000000;
1.490234;365.000000;43.000000;75.000000;
1.492188;441.000000;43.000000;75.000000;
1.494141;534.000000;43.000000;75.000000;
1.496094;600.000000;43.000000;75.000000;
1.498047;605.000000;43.000000;75.000000;
1.500000;596.000000;43.000000;75.000000;
1.501953;626.000000;43.000000;75.000000;
1.503906;668.000000;43.000000;75.000000;
1.505859;689.000000;43.000000;75.000000;
1.507813;706.000000;43.000000;75.000000;
1.509766;728.000000;43.000000;75.000000;
1.511719;764.000000;43.000000;75.000000;
1.513672;805.000000;43.000000;75.000000;
1.515625;853.000000;43.000000;75.000000;
1.517578;901.000000;43.000000;75.000000;
1.519531;928.000000;43.000000;75.000000;
1.521484;940.000000;43.000000;75.000000;
1.523438;968.000000;43.000000;75.000000;
1.525391;1014.000000;43.000000;75.000000;
1.527344;1049.000000;43.000000;75.000000;
1.529297;1061.000000;43.000000;75.000000;
1.531250;1089.000000;43.000000;75.000000;
1.533203;1137.000000;43.000000;75.000000;
1.535156;1145.000000;43.000000;75.000000;
1.537109;1127.000000;43.000000;75.000000;
1.539063;1136.000000;43.000000;75.000000;
1.541016;1148.000000;43.000000;75.000000;
1.542969;1147.000000;43.000000;75.000000;
1.544922;1155.000000;43.000000;75.000000;
