Time, Battery, PoorSignal, Attention, Meditation, Raw, Delta, Theta, lowAlpha, highAlpha, lowBeta, highBeta, lowGamma, highGamma, Blink,
21:46:22.000811,0,0,97,78,60,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000817,0,0,97,78,98,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000818,0,0,97,78,107,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000819,0,0,97,78,69,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000820,0,0,97,78,26,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000821,0,0,97,78,51,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000825,0,0,97,78,98,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000826,0,0,97,78,124,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000827,0,0,97,78,120,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000828,0,0,97,78,101,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000834,0,0,97,78,99,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000835,0,0,97,78,92,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000836,0,0,97,78,88,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000837,0,0,97,78,83,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000838,0,0,97,78,75,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000843,0,0,97,78,90,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000844,0,0,97,78,108,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000845,0,0,97,78,100,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000846,0,0,97,78,60,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000852,0,0,97,78,28,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000853,0,0,97,78,52,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000854,0,0,97,78,96,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000855,0,0,97,78,107,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000856,0,0,97,78,97,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000860,0,0,97,78,86,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000861,0,0,97,78,76,5141,6785,7642,1452,6873,3585,4052,1898,46,
